business_date,location_code,role,hours,wages
2024-01-01,CW-WV,Manager,10.0,330.00
2024-01-01,CW-WV,Line Cook,28.0,686.00
2024-01-01,CW-WV,Prep Cook,14.2,305.30
2024-01-01,CW-WV,Server,37.8,661.50
2024-01-01,CW-WV,Busser,10.5,178.50
2024-01-01,CW-WV,Bartender,10.2,204.00
2024-01-01,CW-WV,dishwasher,10.5,178.50
2024-01-02,CW-WV,Manager,12.2,402.60
2024-01-02,CW-WV,Line Cook,34.0,833.00
2024-01-02,CW-WV,Prep Cook,17.2,369.80
2024-01-02,CW-WV,Server,45.8,801.50
2024-01-02,CW-WV,Busser,12.7,215.90
2024-01-02,CW-WV,Bartender,12.3,246.00
2024-01-02,CW-WV,Dishwasher,12.7,215.90
2024-01-03,CW-WV,Manager,13.0,429.00
2024-01-03,CW-WV,Line Cook,36.5,894.25
2024-01-03,CW-WV,Prep Cook,18.5,397.75
2024-01-03,CW-WV,Server,49.2,861.00
2024-01-03,CW-WV,Busser,13.6,231.20
2024-01-03,CW-WV,Bartender,13.2,264.00
2024-01-03,CW-WV,Dishwasher,13.6,231.20
2024-01-04,CW-WV,Manager,12.2,402.60
2024-01-04,CW-WV,Line Cook,34.1,835.45
2024-01-04,CW-WV,Prep Cook,17.3,371.95
2024-01-04,CW-WV,Server,45.9,803.25
2024-01-04,CW-WV,Busser,12.7,215.90
2024-01-04,CW-WV,Bartender,12.4,248.00
2024-01-04,CW-WV,Dishwasher,12.7,215.90
2024-01-05,CW-WV,Manager,11.5,379.50
2024-01-05,CW-WV,Line Cook,32.1,786.45
2024-01-05,CW-WV,Prep Cook,16.3,350.45
2024-01-05,CW-WV,SERVER,43.3,757.75
2024-01-05,CW-WV,Busser,12.0,204.00
2024-01-05,CW-WV,Bartender,11.7,234.00
2024-01-05,CW-WV,Dishwasher,12.0,204.00
2024-01-06,CW-WV,Manager,20.3,669.90
2024-01-06,CW-WV,Line Cook,56.7,1389.15
2024-01-06,CW-WV,Prep Cook,28.7,617.05
2024-01-06,CW-WV,Server,76.4,1337.00
2024-01-06,CW-WV,Busser,21.2,360.40
2024-01-06,CW-WV,Bartender,20.6,412.00
2024-01-06,CW-WV,Dishwasher,21.2,360.40
2024-01-07,CW-WV,Manager,21.8,719.40
2024-01-07,CW-WV,Line Cook,60.9,1492.05
2024-01-07,CW-WV,Prep Cook,30.8,662.20
2024-01-07,CW-WV,Server,82.1,1436.75
2024-01-07,CW-WV,Busser,22.8,387.60
2024-01-07,CW-WV,Bartender,22.1,442.00
2024-01-07,CW-WV,Dishwasher,22.8,387.60
2024-01-08,CW-WV,Manager,12.9,425.70
2024-01-08,CW-WV,Line Cook,36.2,886.90
2024-01-08,CW-WV,PREP COOK,18.3,393.45
2024-01-08,CW-WV,Server,48.8,854.00
2024-01-08,CW-WV,busser,13.5,229.50
2024-01-08,CW-WV,Bartender,13.1,262.00
2024-01-08,CW-WV,Dishwasher,13.5,229.50
2024-01-09,CW-WV,Manager,13.0,429.00
2024-01-09,CW-WV,Line Cook,36.3,889.35
2024-01-09,CW-WV,Prep Cook,18.4,395.60
2024-01-09,CW-WV,Server,48.9,855.75
2024-01-09,CW-WV,Busser,13.6,231.20
2024-01-09,CW-WV,Bartender,13.2,264.00
2024-01-09,CW-WV,Dishwasher,13.6,231.20
2024-01-10,CW-WV,Manager,12.5,412.50
2024-01-10,CW-WV,Line Cook,35.1,859.95
2024-01-10,CW-WV,Prep Cook,17.8,382.70
2024-01-10,CW-WV,Server,47.3,827.75
2024-01-10,CW-WV,Busser,13.1,222.70
2024-01-10,CW-WV,Bartender,12.7,254.00
2024-01-10,CW-WV,Dishwasher,13.1,222.70
2024-01-11,CW-WV,Manager,14.1,465.30
2024-01-11,CW-WV,Line Cook,39.6,970.20
2024-01-11,CW-WV,Prep Cook,20.0,430.00
2024-01-11,CW-WV,Server,53.4,934.50
2024-01-11,CW-WV,Busser,14.8,251.60
2024-01-11,CW-WV,Bartender,14.4,288.00
2024-01-11,CW-WV,Dishwasher,14.8,251.60
2024-01-12,CW-WV,Manager,12.7,419.10
2024-01-12,CW-WV,Line Cook,35.5,869.75
2024-01-12,CW-WV,Prep Cook,18.0,387.00
2024-01-12,CW-WV,Server,47.8,836.50
2024-01-12,CW-WV,Busser,13.3,226.10
2024-01-12,CW-WV,Bartender,12.9,258.00
2024-01-12,CW-WV,Dishwasher,13.3,226.10
2024-01-13,CW-WV,Manager,22.1,729.30
2024-01-13,CW-WV,Line Cook,61.8,1514.10
2024-01-13,CW-WV,Prep Cook,31.3,672.95
2024-01-13,CW-WV,Server,83.4,1459.50
2024-01-13,CW-WV,Busser,23.1,392.70
2024-01-13,CW-WV,Bartender,22.4,448.00
2024-01-13,CW-WV,Dishwasher,23.1,392.70
2024-01-14,CW-WV,Manager,20.7,683.10
2024-01-14,CW-WV,Line Cook,57.9,1418.55
2024-01-14,CW-WV,Prep Cook,29.3,629.95
2024-01-14,CW-WV,Server ,78.0,1365.00
2024-01-14,CW-WV,Busser,21.6,367.20
2024-01-14,CW-WV,Bartender,21.0,420.00
2024-01-14,CW-WV,Dishwasher,21.6,367.20
2024-01-15,CW-WV,Manager,12.7,419.10
2024-01-15,CW-WV,Line Cook,35.6,872.20
2024-01-15,CW-WV,Prep Cook,18.0,387.00
2024-01-15,CW-WV,Server,48.0,840.00
2024-01-15,CW-WV,Busser,13.3,226.10
2024-01-15,CW-WV,Bartender,12.9,258.00
2024-01-15,CW-WV,Dishwasher,13.3,226.10
2024-01-16,CW-WV,Manager,13.8,455.40
2024-01-16,CW-WV,Line Cook,38.5,943.25
2024-01-16,CW-WV,Prep Cook,19.5,419.25
2024-01-16,CW-WV,Server,51.9,908.25
2024-01-16,CW-WV,Busser,14.4,244.80
2024-01-16,CW-WV,Bartender,14.0,280.00
2024-01-16,CW-WV,Dishwasher,14.4,244.80
2024-01-17,CW-WV,Manager,15.9,524.70
2024-01-17,CW-WV,Line Cook,44.6,1092.70
2024-01-17,CW-WV,Prep Cook,22.6,485.90
2024-01-17,CW-WV,Server,60.1,1051.75
2024-01-17,CW-WV,Busser,16.6,282.20
2024-01-17,CW-WV,Bartender,16.2,324.00
2024-01-17,CW-WV,Dishwasher,16.6,282.20
2024-01-18,CW-WV,Manager,13.9,458.70
2024-01-18,CW-WV,Line Cook,38.9,953.05
2024-01-18,CW-WV,PREP COOK,19.7,423.55
2024-01-18,CW-WV,Server,52.5,918.75
2024-01-18,CW-WV,Busser,14.5,246.50
2024-01-18,CW-WV,Bartender,14.1,282.00
2024-01-18,CW-WV,Dishwasher,14.5,246.50
2024-01-19,CW-WV,Manager,13.6,448.80
2024-01-19,CW-WV,Line Cook,38.0,931.00
2024-01-19,CW-WV,Prep Cook,19.2,412.80
2024-01-19,CW-WV,Server,51.2,896.00
2024-01-19,CW-WV,Busser,14.2,241.40
2024-01-19,CW-WV,Bartender,13.8,276.00
2024-01-19,CW-WV,Dishwasher,14.2,241.40
2024-01-20,CW-WV,Manager,21.9,722.70
2024-01-20,CW-WV,Line Cook,61.3,1501.85
2024-01-20,CW-WV,Prep Cook,31.0,666.50
2024-01-20,CW-WV,Server,82.6,1445.50
2024-01-20,CW-WV,Busser,22.9,389.30
2024-01-20,CW-WV,Bartender,22.2,444.00
2024-01-20,CW-WV,Dishwasher,22.9,389.30
2024-01-21,CW-WV,Manager,24.8,818.40
2024-01-21,CW-WV,Line Cook,69.3,1697.85
2024-01-21,CW-WV,Prep Cook,35.1,754.65
2024-01-21,CW-WV,Server,93.4,1634.50
2024-01-21,CW-WV,Busser,25.9,440.30
2024-01-21,CW-WV,Bartender,25.2,504.00
2024-01-21,CW-WV,Dishwasher,25.9,440.30
2024-01-22,CW-WV,Manager,15.0,495.00
2024-01-22,CW-WV,Line Cook,42.1,1031.45
2024-01-22,CW-WV,Prep Cook,21.3,457.95
2024-01-22,CW-WV,Server,56.8,994.00
2024-01-22,CW-WV,Busser,15.7,266.90
2024-01-22,CW-WV,Bartender,15.3,306.00
2024-01-22,CW-WV,Dishwasher,15.7,266.90
2024-01-23,CW-WV,Manager,15.6,514.80
2024-01-23,CW-WV,Line Cook,43.7,1070.65
2024-01-23,CW-WV,Prep Cook,22.2,477.30
2024-01-23,CW-WV,Server,59.0,1032.50
2024-01-23,CW-WV,Busser,16.3,277.10
2024-01-23,CW-WV,Bartender,15.9,318.00
2024-01-23,CW-WV,Dishwasher,16.3,277.10
2024-01-24,CW-WV,Manager,13.9,458.70
2024-01-24,CW-WV,Line Cook,39.0,955.50
2024-01-24,CW-WV,Prep Cook,19.7,423.55
2024-01-24,CW-WV,Server,52.5,918.75
2024-01-24,CW-WV,Busser,14.6,248.20
2024-01-24,CW-WV,Bartender,14.1,282.00
2024-01-24,CW-WV,Dishwasher,14.6,248.20
2024-01-25,CW-WV,Manager,14.8,488.40
2024-01-25,CW-WV,Line Cook,41.4,1014.30
2024-01-25,CW-WV,Prep Cook,21.0,451.50
2024-01-25,CW-WV,Server,55.8,976.50
2024-01-25,CW-WV,Busser,15.5,263.50
2024-01-25,CW-WV,Bartender,15.0,300.00
2024-01-25,CW-WV,Dishwasher,15.5,263.50
2024-01-26,CW-WV,Manager,13.9,458.70
2024-01-26,CW-WV,Line Cook,38.7,948.15
2024-01-26,CW-WV,Prep Cook,19.6,421.40
2024-01-26,CW-WV,Server,52.2,913.50
2024-01-26,CW-WV,Busser,14.5,246.50
2024-01-26,CW-WV,Bartender,14.1,282.00
2024-01-26,CW-WV,Dishwasher,14.5,246.50
2024-01-27,CW-WV,Manager,22.3,735.90
2024-01-27,CW-WV,Line Cook,62.5,1531.25
2024-01-27,CW-WV,Prep Cook,31.7,681.55
2024-01-27,CW-WV,Server,84.3,1475.25
2024-01-27,CW-WV,busser,23.4,397.80
2024-01-27,CW-WV,Bartender,22.7,454.00
2024-01-27,CW-WV,Dishwasher,23.4,397.80
2024-01-28,CW-WV,Manager,22.3,735.90
2024-01-28,CW-WV,Line Cook,62.3,1526.35
2024-01-28,CW-WV,Prep Cook,31.6,679.40
2024-01-28,CW-WV,Server,84.0,1470.00
2024-01-28,CW-WV,Busser,23.3,396.10
2024-01-28,CW-WV,Bartender,22.6,452.00
2024-01-28,CW-WV,Dishwasher,23.3,396.10
2024-01-29,CW-WV,Manager,13.6,448.80
2024-01-29,CW-WV,Line Cook,38.0,931.00
2024-01-29,CW-WV,Prep Cook,19.3,414.95
2024-01-29,CW-WV,Server,51.3,897.75
2024-01-29,CW-WV,Busser,14.2,241.40
2024-01-29,CW-WV,Bartender,13.8,276.00
2024-01-29,CW-WV,Dishwasher,14.2,241.40
2024-01-30,CW-WV,Manager,16.3,537.90
2024-01-30,CW-WV,Line Cook,45.6,1117.20
2024-01-30,CW-WV,Prep Cook,23.1,496.65
2024-01-30,CW-WV,Server,61.4,1074.50
2024-01-30,CW-WV,Busser,17.0,289.00
2024-01-30,CW-WV,Bartender,16.5,330.00
2024-01-30,CW-WV,Dishwasher,17.0,289.00
2024-01-31,CW-WV,Manager,15.3,504.90
2024-01-31,CW-WV,Line Cook,42.7,1046.15
2024-01-31,CW-WV,Prep Cook,21.6,464.40
2024-01-31,CW-WV,Server,57.6,1008.00
2024-01-31,CW-WV,Busser,16.0,272.00
2024-01-31,CW-WV,Bartender,15.5,310.00
2024-01-31,CW-WV,Dishwasher,16.0,272.00
2024-02-01,CW-WV,Manager,14.1,465.30
2024-02-01,CW-WV,Line Cook,39.5,967.75
2024-02-01,CW-WV,Prep Cook,20.0,430.00
2024-02-01,CW-WV,Server,53.3,932.75
2024-02-01,CW-WV,Busser,14.8,251.60
2024-02-01,CW-WV,Bartender,14.3,286.00
2024-02-01,CW-WV,Dishwasher,14.8,251.60
2024-02-02,CW-WV,Manager,12.5,412.50
2024-02-02,CW-WV,Line Cook,35.0,857.50
2024-02-02,CW-WV,Prep Cook,17.7,380.55
2024-02-02,CW-WV,Server,47.2,826.00
2024-02-02,CW-WV,BUSSER,13.1,222.70
2024-02-02,CW-WV,Bartender,12.7,254.00
2024-02-02,CW-WV,Dishwasher,13.1,222.70
2024-02-03,CW-WV,Manager,20.8,686.40
2024-02-03,CW-WV,Line Cook,58.2,1425.90
2024-02-03,CW-WV,Prep Cook,29.5,634.25
2024-02-03,CW-WV,Server,78.4,1372.00
2024-02-03,CW-WV,Busser,21.7,368.90
2024-02-03,CW-WV,Bartender,21.1,422.00
2024-02-03,CW-WV,Dishwasher,21.7,368.90
2024-02-04,CW-WV,Manager,19.8,653.40
2024-02-04,CW-WV,Line Cook,55.3,1354.85
2024-02-04,CW-WV,Prep Cook,28.0,602.00
2024-02-04,CW-WV,Server,74.5,1303.75
2024-02-04,CW-WV,Busser,20.7,351.90
2024-02-04,CW-WV,Bartender,20.1,402.00
2024-02-04,CW-WV,Dishwasher,20.7,351.90
2024-02-05,CW-WV,Manager,14.4,475.20
2024-02-05,CW-WV,Line Cook,40.4,989.80
2024-02-05,CW-WV,Prep Cook,20.5,440.75
2024-02-05,CW-WV,Server,54.5,953.75
2024-02-05,CW-WV,Busser,15.1,256.70
2024-02-05,CW-WV,Bartender,14.7,294.00
2024-02-05,CW-WV,Dishwasher,15.1,256.70
2024-02-06,CW-WV,Manager,15.3,504.90
2024-02-06,CW-WV,Line Cook,42.7,1046.15
2024-02-06,CW-WV,Prep Cook,21.6,464.40
2024-02-06,CW-WV,Server,57.5,1006.25
2024-02-06,CW-WV,Busser,15.9,270.30
2024-02-06,CW-WV,Bartender,15.5,310.00
2024-02-06,CW-WV,Dishwasher,15.9,270.30
2024-02-07,CW-WV,Manager,15.5,511.50
2024-02-07,CW-WV,Line Cook,43.3,1060.85
2024-02-07,CW-WV,Prep Cook,21.9,470.85
2024-02-07,CW-WV,Server,58.4,1022.00
2024-02-07,CW-WV,Busser,16.2,275.40
2024-02-07,CW-WV,Bartender,15.7,314.00
2024-02-07,CW-WV,dishwasher,16.2,275.40
2024-02-08,CW-WV,Manager,14.1,465.30
2024-02-08,CW-WV,Line Cook,39.4,965.30
2024-02-08,CW-WV,Prep Cook,20.0,430.00
2024-02-08,CW-WV,Server,53.1,929.25
2024-02-08,CW-WV,Busser,14.7,249.90
2024-02-08,CW-WV,Bartender,14.3,286.00
2024-02-08,CW-WV,Dishwasher,14.7,249.90
2024-02-09,CW-WV,Manager,14.1,465.30
2024-02-09,CW-WV,Line Cook,39.4,965.30
2024-02-09,CW-WV,Prep Cook,20.0,430.00
2024-02-09,CW-WV,Server,53.1,929.25
2024-02-09,CW-WV,Busser,14.7,249.90
2024-02-09,CW-WV,Bartender,14.3,286.00
2024-02-09,CW-WV,Dishwasher,14.7,249.90
2024-02-10,CW-WV,Manager,22.7,749.10
2024-02-10,CW-WV,Line Cook,63.5,1555.75
2024-02-10,CW-WV,Prep Cook,32.1,690.15
2024-02-10,CW-WV,Server,85.5,1496.25
2024-02-10,CW-WV,Busser,23.7,402.90
2024-02-10,CW-WV,Bartender,23.0,460.00
2024-02-10,CW-WV,Dishwasher,23.7,402.90
2024-02-11,CW-WV,Manager,14.4,475.20
2024-02-11,CW-WV,Line Cook,40.2,984.90
2024-02-11,CW-WV,prep cook,20.4,438.60
2024-02-11,CW-WV,Server,54.2,948.50
2024-02-11,CW-WV,Busser,15.0,255.00
2024-02-11,CW-WV,Bartender,14.6,292.00
2024-02-11,CW-WV,Dishwasher,15.0,255.00
2024-02-12,CW-WV,Manager,14.3,471.90
2024-02-12,CW-WV,Line Cook,40.1,982.45
2024-02-12,CW-WV,Prep Cook,20.3,436.45
2024-02-12,CW-WV,Server,54.0,945.00
2024-02-12,CW-WV,Busser,15.0,255.00
2024-02-12,CW-WV,Bartender,14.5,290.00
2024-02-12,CW-WV,Dishwasher,15.0,255.00
2024-02-13,CW-WV,MANAGER,13.8,455.40
2024-02-13,CW-WV,Line Cook,38.7,948.15
2024-02-13,CW-WV,Prep Cook,19.6,421.40
2024-02-13,CW-WV,Server,52.1,911.75
2024-02-13,CW-WV,Busser,14.4,244.80
2024-02-13,CW-WV,Bartender,14.0,280.00
2024-02-13,CW-WV,Dishwasher,14.4,244.80
2024-02-14,CW-WV,Manager,16.8,554.40
2024-02-14,CW-WV,Line Cook,47.0,1151.50
2024-02-14,CW-WV,PREP COOK,23.8,511.70
2024-02-14,CW-WV,Server,63.4,1109.50
2024-02-14,CW-WV,Busser,17.6,299.20
2024-02-14,CW-WV,Bartender,17.1,342.00
2024-02-14,CW-WV,Dishwasher,17.6,299.20
2024-02-15,CW-WV,Manager,13.8,455.40
2024-02-15,CW-WV,Line Cook,38.7,948.15
2024-02-15,CW-WV,Prep Cook,19.6,421.40
2024-02-15,CW-WV,Server,52.1,911.75
2024-02-15,CW-WV,Busser,14.5,246.50
2024-02-15,CW-WV,Bartender,14.0,280.00
2024-02-15,CW-WV,Dishwasher,14.5,246.50
2024-02-16,CW-WV,Manager,14.8,488.40
2024-02-16,CW-WV,Line Cook,41.5,1016.75
2024-02-16,CW-WV,Prep Cook,21.0,451.50
2024-02-16,CW-WV,Server,55.9,978.25
2024-02-16,CW-WV,Busser,15.5,263.50
2024-02-16,CW-WV,Bartender,15.1,302.00
2024-02-16,CW-WV,dishwasher,15.5,263.50
2024-02-17,CW-WV,Manager,20.6,679.80
2024-02-17,CW-WV,line cook,57.7,1413.65
2024-02-17,CW-WV,Prep Cook,29.2,627.80
2024-02-17,CW-WV,Server,77.8,1361.50
2024-02-17,CW-WV,Busser,21.6,367.20
2024-02-17,CW-WV,Bartender,20.9,418.00
2024-02-17,CW-WV,Dishwasher,21.6,367.20
2024-02-18,CW-WV,Manager,20.5,676.50
2024-02-18,CW-WV,Line Cook,57.5,1408.75
2024-02-18,CW-WV,Prep Cook,29.1,625.65
2024-02-18,CW-WV,Server,77.5,1356.25
2024-02-18,CW-WV,Busser,21.5,365.50
2024-02-18,CW-WV,Bartender,20.9,418.00
2024-02-18,CW-WV,Dishwasher,21.5,365.50
2024-02-19,CW-WV,Manager,15.8,521.40
2024-02-19,CW-WV,Line Cook,44.3,1085.35
2024-02-19,CW-WV,Prep Cook,22.4,481.60
2024-02-19,CW-WV,Server ,59.7,1044.75
2024-02-19,CW-WV,Busser,16.6,282.20
2024-02-19,CW-WV,Bartender,16.1,322.00
2024-02-19,CW-WV,Dishwasher,16.6,282.20
2024-02-20,CW-WV,MANAGER,14.2,468.60
2024-02-20,CW-WV,Line Cook,39.9,977.55
2024-02-20,CW-WV,Prep Cook,20.2,434.30
2024-02-20,CW-WV,Server,53.7,939.75
2024-02-20,CW-WV,BUSSER,14.9,253.30
2024-02-20,CW-WV,Bartender,14.5,290.00
2024-02-20,CW-WV,Dishwasher,14.9,253.30
2024-02-21,CW-WV,Manager,13.5,445.50
2024-02-21,CW-WV,Line Cook,37.7,923.65
2024-02-21,CW-WV,Prep Cook,19.1,410.65
2024-02-21,CW-WV,Server,50.8,889.00
2024-02-21,CW-WV,Busser,14.1,239.70
2024-02-21,CW-WV,Bartender,13.7,274.00
2024-02-21,CW-WV,Dishwasher,14.1,239.70
2024-02-22,CW-WV,Manager,13.0,429.00
2024-02-22,CW-WV,Line Cook,36.2,886.90
2024-02-22,CW-WV,Prep Cook,18.4,395.60
2024-02-22,CW-WV,Server,48.9,855.75
2024-02-22,CW-WV,Busser,13.5,229.50
2024-02-22,CW-WV,Bartender,13.2,264.00
2024-02-22,CW-WV,Dishwasher,13.5,229.50
2024-02-23,CW-WV,Manager,14.1,465.30
2024-02-23,CW-WV,Line Cook,39.5,967.75
2024-02-23,CW-WV,Prep Cook,20.0,430.00
2024-02-23,CW-WV,Server,53.3,932.75
2024-02-23,CW-WV,Busser,14.8,251.60
2024-02-23,CW-WV,Bartender,14.4,288.00
2024-02-23,CW-WV,Dishwasher,14.8,251.60
2024-02-24,CW-WV,Manager,20.8,686.40
2024-02-24,CW-WV,Line Cook,58.1,1423.45
2024-02-24,CW-WV,Prep Cook,29.4,632.10
2024-02-24,CW-WV,Server,78.3,1370.25
2024-02-24,CW-WV,Busser,21.7,368.90
2024-02-24,CW-WV,Bartender,21.1,422.00
2024-02-24,CW-WV,Dishwasher,21.7,368.90
2024-02-25,CW-WV,Manager,20.7,683.10
2024-02-25,CW-WV,Line Cook,58.0,1421.00
2024-02-25,CW-WV,Prep Cook,29.4,632.10
2024-02-25,CW-WV,Server,78.2,1368.50
2024-02-25,CW-WV,Busser,21.7,368.90
2024-02-25,CW-WV,Bartender,21.1,422.00
2024-02-25,CW-WV,Dishwasher,21.7,368.90
2024-02-26,CW-WV,Manager,14.7,485.10
2024-02-26,CW-WV,Line Cook,41.1,1006.95
2024-02-26,CW-WV,Prep Cook,20.8,447.20
2024-02-26,CW-WV,Server,55.5,971.25
2024-02-26,CW-WV,Busser,15.4,261.80
2024-02-26,CW-WV,Bartender,14.9,298.00
2024-02-26,CW-WV,Dishwasher,15.4,261.80
2024-02-27,CW-WV,Manager,14.0,462.00
2024-02-27,CW-WV,Line Cook,39.2,960.40
2024-02-27,CW-WV,Prep Cook,19.9,427.85
2024-02-27,CW-WV,Server,52.9,925.75
2024-02-27,CW-WV,Busser,14.7,249.90
2024-02-27,CW-WV,Bartender,14.2,284.00
2024-02-27,CW-WV,Dishwasher,14.7,249.90
2024-02-28,CW-WV,Manager,14.5,478.50
2024-02-28,CW-WV,Line Cook,40.4,989.80
2024-02-28,CW-WV,Prep Cook,20.5,440.75
2024-02-28,CW-WV,Server,54.5,953.75
2024-02-28,CW-WV,Busser,15.1,256.70
2024-02-28,CW-WV,Bartender,14.7,294.00
2024-02-28,CW-WV,Dishwasher,15.1,256.70
2024-02-29,CW-WV,Manager,16.1,531.30
2024-02-29,CW-WV,Line Cook,45.0,1102.50
2024-02-29,CW-WV,Prep Cook,22.8,490.20
2024-02-29,CW-WV,Server,60.7,1062.25
2024-02-29,CW-WV,Busser,16.8,285.60
2024-02-29,CW-WV,bartender,16.4,328.00
2024-02-29,CW-WV,Dishwasher,16.8,285.60
2024-03-01,CW-WV,Manager,14.2,468.60
2024-03-01,CW-WV,Line Cook,39.9,977.55
2024-03-01,CW-WV,Prep Cook,20.2,434.30
2024-03-01,CW-WV,Server,53.7,939.75
2024-03-01,CW-WV,Busser,14.9,253.30
2024-03-01,CW-WV,Bartender,14.5,290.00
2024-03-01,CW-WV,Dishwasher,14.9,253.30
2024-03-02,CW-WV,Manager,22.9,755.70
2024-03-02,CW-WV,Line Cook,64.0,1568.00
2024-03-02,CW-WV,Prep Cook,32.4,696.60
2024-03-02,CW-WV,Server,86.3,1510.25
2024-03-02,CW-WV,Busser,23.9,406.30
2024-03-02,CW-WV,Bartender,23.2,464.00
2024-03-02,CW-WV,Dishwasher,23.9,406.30
2024-03-03,CW-WV,Manager,24.0,792.00
2024-03-03,CW-WV,Line Cook,67.1,1643.95
2024-03-03,CW-WV,Prep Cook,34.0,731.00
2024-03-03,CW-WV,Server,90.4,1582.00
2024-03-03,CW-WV,Busser,25.1,426.70
2024-03-03,CW-WV,Bartender,24.3,486.00
2024-03-03,CW-WV,Dishwasher,25.1,426.70
2024-03-04,CW-WV,Manager,16.1,531.30
2024-03-04,CW-WV,LINE COOK,45.1,1104.95
2024-03-04,CW-WV,Prep Cook,22.8,490.20
2024-03-04,CW-WV,Server,60.8,1064.00
2024-03-04,CW-WV,Busser,16.9,287.30
2024-03-04,CW-WV,Bartender,16.4,328.00
2024-03-04,CW-WV,Dishwasher,16.9,287.30
2024-03-05,CW-WV,Manager,16.0,528.00
2024-03-05,CW-WV,Line Cook,44.9,1100.05
2024-03-05,CW-WV,Prep Cook,22.7,488.05
2024-03-05,CW-WV,Server,60.5,1058.75
2024-03-05,CW-WV,Busser,16.8,285.60
2024-03-05,CW-WV,Bartender,16.3,326.00
2024-03-05,CW-WV,dishwasher,16.8,285.60
2024-03-06,CW-WV,Manager,15.0,495.00
2024-03-06,CW-WV,Line Cook,41.8,1024.10
2024-03-06,CW-WV,Prep Cook,21.2,455.80
2024-03-06,CW-WV,Server,56.4,987.00
2024-03-06,CW-WV,Busser,15.6,265.20
2024-03-06,CW-WV,Bartender,15.2,304.00
2024-03-06,CW-WV,Dishwasher,15.6,265.20
2024-03-07,CW-WV,Manager,13.2,435.60
2024-03-07,CW-WV,Line Cook,37.0,906.50
2024-03-07,CW-WV,Prep Cook,18.7,402.05
2024-03-07,CW-WV,Server,49.9,873.25
2024-03-07,CW-WV,Busser,13.8,234.60
2024-03-07,CW-WV,Bartender,13.4,268.00
2024-03-07,CW-WV,Dishwasher,13.8,234.60
2024-03-08,CW-WV,Manager,14.0,462.00
2024-03-08,CW-WV,Line Cook,39.2,960.40
2024-03-08,CW-WV,Prep Cook,19.9,427.85
2024-03-08,CW-WV,Server,52.9,925.75
2024-03-08,CW-WV,Busser,14.6,248.20
2024-03-08,CW-WV,Bartender,14.2,284.00
2024-03-08,CW-WV,Dishwasher,14.6,248.20
2024-03-09,CW-WV,Manager,22.6,745.80
2024-03-09,CW-WV,LINE COOK,63.4,1553.30
2024-03-09,CW-WV,Prep Cook,32.1,690.15
2024-03-09,CW-WV,Server ,85.4,1494.50
2024-03-09,CW-WV,Busser,23.7,402.90
2024-03-09,CW-WV,Bartender,23.0,460.00
2024-03-09,CW-WV,Dishwasher,23.7,402.90
2024-03-10,CW-WV,Manager,22.3,735.90
2024-03-10,CW-WV,Line Cook,62.3,1526.35
2024-03-10,CW-WV,Prep Cook,31.5,677.25
2024-03-10,CW-WV,Server,84.0,1470.00
2024-03-10,CW-WV,Busser,23.3,396.10
2024-03-10,CW-WV,Bartender,22.6,452.00
2024-03-10,CW-WV,Dishwasher,23.3,396.10
2024-03-11,CW-WV,Manager,12.9,425.70
2024-03-11,CW-WV,Line Cook,36.1,884.45
2024-03-11,CW-WV,Prep Cook,18.3,393.45
2024-03-11,CW-WV,Server,48.7,852.25
2024-03-11,CW-WV,Busser,13.5,229.50
2024-03-11,CW-WV,Bartender,13.1,262.00
2024-03-11,CW-WV,Dishwasher,13.5,229.50
2024-03-12,CW-WV,Manager,15.0,495.00
2024-03-12,CW-WV,Line Cook,42.0,1029.00
2024-03-12,CW-WV,Prep Cook,21.3,457.95
